Iteration,Buffer_Size,Total_Loss,Policy_Loss,Value_Loss,New_Champion
576,4302,2.9677,2.6948,0.2729,False
577,8817,3.0759,2.6970,0.3789,False
578,13388,3.1903,2.6963,0.4940,True
579,17622,2.9921,2.6958,0.2964,False
580,21905,3.0811,2.6998,0.3814,False
579,4227,2.9435,2.7004,0.2431,False
580,8391,3.0422,2.7040,0.3382,True
581,12787,2.9607,2.7007,0.2600,False
582,17278,3.0443,2.7007,0.3436,False
583,21531,3.1294,2.7022,0.4272,False
584,25902,3.2033,2.7015,0.5017,False
585,30074,3.2597,2.7016,0.5581,False
586,34314,3.3206,2.7039,0.6166,False
587,38649,3.3611,2.7014,0.6597,False
588,43016,3.4080,2.7023,0.7057,True
589,47372,3.1546,2.7014,0.4531,False
590,51564,3.2078,2.7019,0.5059,True
591,55942,3.1257,2.7028,0.4229,True
592,60252,3.0888,2.7033,0.3856,False
592,4358,2.8889,2.6927,0.1962,False
593,8757,2.9871,2.6993,0.2878,False
594,12868,3.0727,2.7005,0.3722,False
595,16972,3.1695,2.7038,0.4657,False
596,21239,3.2235,2.7039,0.5196,True
597,25476,3.0188,2.7043,0.3145,True
598,29930,3.0026,2.7030,0.2997,True
599,34176,3.0018,2.7044,0.2974,False
600,38455,3.0752,2.7059,0.3692,False
599,11572,2.8572,2.6955,0.1616,True
600,23115,2.8608,2.6979,0.1629,False
601,34506,2.9279,2.7009,0.2271,True
602,45895,2.8959,2.7018,0.1941,False
603,57598,2.9558,2.7018,0.2540,False
604,68960,3.0077,2.7027,0.3050,False
605,80514,3.0537,2.7031,0.3506,True
606,91934,2.9494,2.7044,0.2451,False
607,103319,2.9979,2.7053,0.2926,False
608,114621,3.0429,2.7061,0.3368,False
1,20198,2.4095,2.1428,0.2667,False
2,39769,2.9177,2.5409,0.3768,False
3,59979,3.0926,2.6454,0.4473,False
4,79838,3.2474,2.7045,0.5429,False
5,99437,3.3322,2.7257,0.6065,False
1,20116,3.3644,2.7608,0.6036,False
2,40641,3.7763,2.8205,0.9557,False
3,60526,3.8289,2.8215,1.0075,False
4,80470,3.8046,2.8112,0.9934,False
5,100586,3.8505,2.8178,1.0326,False
1058,19467,2.9861,2.6163,0.3698,False
1059,39334,3.2338,2.7019,0.5319,True
1060,58676,3.0845,2.6651,0.4195,False
1061,78077,3.2043,2.6839,0.5204,False
1062,98166,3.3159,2.6988,0.6171,False
1063,117855,3.3920,2.7034,0.6886,False
1064,137083,3.4466,2.7074,0.7392,False
1065,156422,3.4871,2.7095,0.7777,False
1066,175683,3.5285,2.7142,0.8144,False
1067,195278,3.5487,2.7129,0.8358,True
1068,214966,3.4123,2.7122,0.7001,False
1069,234269,3.4437,2.7139,0.7298,False
1070,253434,3.4653,2.7163,0.7490,False
1071,272699,3.4898,2.7163,0.7735,False
1072,292539,3.5157,2.7182,0.7975,False
1073,311581,3.5327,2.7195,0.8132,False
1074,331224,3.5530,2.7199,0.8332,True
1075,350473,3.4802,2.7179,0.7623,False
1076,370460,3.5058,2.7201,0.7857,True
1077,389897,3.4602,2.7194,0.7408,False
1078,409781,3.4828,2.7199,0.7629,False
1079,429284,3.4921,2.7201,0.7720,False
1080,448647,3.5059,2.7205,0.7853,False
1081,467715,3.5142,2.7200,0.7942,False
1082,487353,3.5292,2.7206,0.8087,False
1083,500000,3.5442,2.7233,0.8209,False
1084,500000,3.5617,2.7226,0.8392,True
1085,500000,3.5374,2.7243,0.8131,False
1086,500000,3.5489,2.7234,0.8256,False
1087,500000,3.5565,2.7247,0.8318,False
1088,500000,3.5730,2.7255,0.8475,True
1089,500000,3.5333,2.7245,0.8089,True
1090,500000,3.5122,2.7251,0.7871,False
1091,500000,3.5205,2.7238,0.7967,True
1092,500000,3.5027,2.7239,0.7788,False
1093,500000,3.5103,2.7250,0.7853,False
1094,500000,3.5248,2.7247,0.8000,False
1095,500000,3.5394,2.7255,0.8139,False
1096,500000,3.5469,2.7252,0.8216,False
1097,500000,3.5576,2.7259,0.8317,False
1098,500000,3.5707,2.7250,0.8458,False
1099,500000,3.5806,2.7262,0.8544,False
1100,500000,3.5920,2.7266,0.8654,False
1092,19383,2.1241,1.9729,0.1512,False
1093,38097,2.5148,2.3184,0.1964,False
1094,57072,2.7881,2.5324,0.2556,False
1095,76362,2.9097,2.6088,0.3009,False
1096,95819,2.9969,2.6485,0.3484,False
1092,19206,2.1263,1.9692,0.1571,False
1093,38366,2.5205,2.3209,0.1995,False
1094,57485,2.7857,2.5288,0.2569,False
1095,76270,2.9141,2.6079,0.3062,True
1096,94678,2.5971,2.3899,0.2071,False
1097,113148,2.7093,2.4580,0.2513,False
1098,131269,2.8035,2.5059,0.2976,False
1099,149891,2.8828,2.5412,0.3416,False
1100,168576,2.9480,2.5682,0.3799,True
1101,186621,2.7967,2.5218,0.2748,True
1102,205010,2.7792,2.5079,0.2714,False
1103,223015,2.8400,2.5305,0.3095,False
1104,241426,2.8957,2.5482,0.3475,False
1105,259925,2.9457,2.5631,0.3826,False
1106,278188,2.9935,2.5772,0.4163,True
1107,296773,2.9141,2.5743,0.3398,True
1108,315037,2.9042,2.5766,0.3276,False
1109,333425,2.9483,2.5866,0.3617,True
1110,351636,2.9338,2.5902,0.3436,False
1111,369553,2.9762,2.6006,0.3757,False
1112,387613,3.0142,2.6086,0.4056,False
1113,405570,3.0469,2.6161,0.4308,False
1114,424142,3.0775,2.6213,0.4563,True
1115,442453,3.0311,2.6265,0.4046,False
1116,460636,3.0619,2.6318,0.4301,False
1117,479042,3.0904,2.6367,0.4537,False
